NAME: Aaron Grycner

Size of Data: 100000 integers

Name of sort function: 		Elapsed time in secs.msec
Bubble Sort:		 	    	11.4506982
Comb Sort:			 	0.0088736
Goofy Sort: 			 	5.3677068
In-Place Merge Sort:			1.3816047
Insertion Sort: 		   	1.3717504
Quick Sort: 			  	0.0060065
Selection Sort: 			2.7814109
Shaker Sort: 			 	6.2714597
Shell Sort: 	    			0.0100223
